	E.CON	NEG.CON	NEG.CON2	ExN.Nereotest.ExN.1	ExN.Nereotest.ExN.2	ExN.Nereotest.ExN.3	ExN.Nereotest.ExN.4	ExN.Nereotest.ExN.5	ExN.Nereotest.Nereo.1	ExN.Nereotest.Nereo.2	ExN.Nereotest.Nereo.3	ExN.Nereotest.Nereo.4	ExN.Nereotest.Nereo.5	ExN.Nereotest.Mast.1	ExN.Nereotest.Mast.2	ExN.Nereotest.Mast.3	ExN.Nereotest.Mast.4	ExN.Nereotest.Mast.5	ExN.Nereotest.NereoMast.1	ExN.Nereotest.NereoMast.2	ExN.Nereotest.NereoMast.3	ExN.Nereotest.NereoMast.4	ExN.Nereotest.NereoMast.5	Nereo.Loneincube.Nereo.1	Nereo.Loneincube.Nereo.2	Nereo.Loneincube.Nereo.3	Nereo.Loneincube.Nereo.4	Nereo.Loneincube.Nereo.5	Mast.Loneincube.Mast.1	Mast.Loneincube.Mast.2	Mast.Loneincube.Mast.3	Mast.Loneincube.Mast.4	Mast.Loneincube.Mast.5	Water.Nereotest.H2O.1	Water.Nereotest.H2O.2	Water.Nereotest.H2O.3	Water.Nereotest.H2O.4	Water.Nereotest.H2O.5	Water.Nereotest.ExN.1	Water.Nereotest.ExN.2	Water.Nereotest.ExN.3	Water.Nereotest.ExN.4	Water.Nereotest.ExN.5	Water.Nereotest.Nereo.1	Water.Nereotest.Nereo.2	Water.Nereotest.Nereo.3	Water.Nereotest.Nereo.4	Water.Nereotest.Nereo.5	Water.Nereotest.Mast.1	Water.Nereotest.Mast.2	Water.Nereotest.Mast.3	Water.Nereotest.Mast.4	Water.Nereotest.Mast.5	Water.Nereotest.NereoMast.1	Water.Nereotest.NereoMast.2	Water.Nereotest.NereoMast.3	Water.Nereotest.NereoMast.4	Water.Nereotest.NereoMast.5	YoungNereo.Environmental.Brockton.1	YoungNereo.Environmental.Brockton.2	YoungNereo.Environmental.Brockton.3	YoungNereo.Environmental.Brockton.4	YoungNereo.Environmental.Brockton.5	OldNereo.Environmental.Brockton.1	OldNereo.Environmental.Brockton.2	OldNereo.Environmental.Brockton.3	OldNereo.Environmental.Brockton.4	OldNereo.Environmental.Brockton.5	water.Loneincube.Mast.1	water.Loneincube.Mast.2	water.Loneincube.Mast.3	water.Loneincube.Mast.4	water.Loneincube.Mast.5	water.Loneincube.Nereo.1	water.Loneincube.Nereo.2	water.Loneincube.Nereo.3	water.Loneincube.Nereo.4	Mast.Environmental.Brockton.1	Mast.Environmental.Brockton.2	Mast.Environmental.Brockton.3	Mast.Environmental.Brockton.4	Mast.Environmental.Brockton.5	Nereocystis.Environmental.StarfishInner.1	Nereocystis.Environmental.StarfishInner.2	Nereocystis.Environmental.StarfishInner.3	Nereocystis.Environmental.StarfishInner.4	Nereocystis.Environmental.StarfishOuter2.1	Nereocystis.Environmental.StarfishOuter3.2	Nereocystis.Environmental.StarfishOuter4.3	Nereocystis.Environmental.StarfishOuter5.4	Water.Environmental.StarfishInner.1	Water.Environmental.StarfishInner.2	Water.Environmental.StarfishInner.3	Water.Environmental.StarfishOuter.1	Water.Environmental.StarfishOuter.2	Water.Environmental.StarfishOuter.3	taxonomy
18161	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	3	6	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	11	7	8	0	0	0	0	0	0	1	0	0	1	2	3	112	51	22	7	65	32	105	30	1	0	0	0	0	4	13	0	11	0	9	2	2	12	2	0	0	29	2	5	5	6	10	0	0	2	0	2	0	Bacteria; __Proteobacteria; __Gammaproteobacteria; __Thiotrichales; __Thiotrichaceae; __Leucothrix
17924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	25	22	11	22	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	1	2	0	2	1	0	0	0	4	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	7	20	8	277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhizobiales; __Phyllobacteriaceae; __Pseudahrensia
16108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	26	15	1	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	12	6	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria; __Bacteroidetes; __Bacteroidetes_Incertae_Sedis; __Order_II; __Rhodothermaceae; __Rubricoccus
22250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	2	0	1	1	19	13	5	8	14	37	28	3	44	36	0	21	1	32	28	4	24	43	50	84	0	0	0	0	0	0	0	0	0	2	0	12	0	0	7	3	0	17	9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhodobacterales; __Rhodobacteraceae; __uncultured; __uncultured_alpha_proteobacterium
9054	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	1	20	0	0	2	9	69	8	25	20	36	9	4	0	0	30	0	45	5	46	61	0	0	1	8	3	0	0	0	0	0	0	0	0	0	1	0	39	0	0	0	1	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhodobacterales; __Rhodobacteraceae; __Nautella; __uncultured_bacterium
7990	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	212	0	0	2	13	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Sphingomonadales; __Erythrobacteraceae; __Erythrobacter
14137	0	0	0	9	0	2	7	5	0	48	46	3	7	0	6	13	99	2	2	6	1	3	14	0	2	0	0	0	0	1	0	0	0	2	12	0	5	0	4	3	1	12	122	3	74	0	2	10	0	1	12	7	8	1	14	2	4	3	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	Bacteria; __Proteobacteria; __Gammaproteobacteria; __Oceanospirillales; __Halomonadaceae; __Halomonas; __uncultured_bacterium
11306	0	0	0	2	1	0	28	0	0	29	0	0	1	0	0	4	6	337	0	11	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	1	0	1	0	0	0	2	4	10	0	14	0	0	2	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	Bacteria; __Proteobacteria; __Gammaproteobacteria; __Alteromonadales; __Colwelliaceae; __Colwellia; __uncultured_bacterium
17524	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	18	0	0	0	0	6	0	0	0	0	15	206	41	45	27	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	10	2	4	7	5	1	3	0	3	0	4	1	0	0	0	0	0	0	6	0	2	0	0	0	0	0	0	0	2	3	10	1	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhodobacterales; __Rhodobacteraceae; __Jannaschia
18369	0	0	0	1	1	3	0	1	0	1	5	2	2	0	0	1	2	0	95	0	3	6	1	0	1	0	0	0	1	0	0	0	0	14	18	0	3	6	24	3	4	34	28	2	8	15	26	34	0	6	21	3	10	4	44	21	36	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	Bacteria; __Proteobacteria; __Gammaproteobacteria; __Alteromonadales; __Alteromonadaceae; __Alteromonas; __Alteromonas_hispanica
19333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	75	0	14	37	34	25	10	14	20	1	5	2	23	38	2	8	0	5	18	0	19	18	11	3	0	0	0	0	0	0	0	0	0	1	0	24	0	0	52	4	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhizobiales; __Hyphomicrobiaceae; __Filomicrobium; __uncultured_bacterium
12348	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	29	1	0	0	0	1	3	2	0	0	5	2	6	5	4	2	1	0	0	0	1	0	0	1	126	2	19	0	0	3	0	8	10	9	6	17	4	7	9	5	2	3	1	3	0	1	1	4	0	1	0	0	0	0	0	0	0	0	0	7	1	26	2	11	0	2	13	0	0	0	0	0	0	1	0	0	1	0	Bacteria; __Bacteroidetes; __Flavobacteriia; __Flavobacteriales; __Flavobacteriaceae
20715	0	0	0	0	55	6	1	1	0	0	0	0	0	0	1	0	7	0	5	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	5	1	2	0	2	0	0	2	0	0	1	0	6	3	8	0	37	0	56	14	41	28	108	0	0	12	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	2	5	9	10	32	4	2	0	0	0	0	0	0	Bacteria; __Verrucomicrobia; __Verrucomicrobiae; __Verrucomicrobiales; __Rubritaleaceae; __Rubritalea; __uncultured_bacterium
9320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	9	0	0	1	0	0	0	0	0	175	70	95	72	104	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	1	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	1	1	13	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria; __Bacteroidetes; __Sphingobacteriia; __Sphingobacteriales; __Saprospiraceae; __Lewinella
13552	0	0	0	1	73	5	1	0	0	1	0	0	0	0	1	1	1	1	16	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	8	4	0	0	0	4	0	0	0	0	0	0	0	6	0	5	0	25	0	43	16	33	27	90	2	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	9	11	21	5	4	0	0	0	0	0	0	Bacteria; __Verrucomicrobia; __Verrucomicrobiae; __Verrucomicrobiales; __Rubritaleaceae; __Rubritalea; __uncultured_bacterium
2231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	2	0	0	0	0	0	0	5	246	17	1	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	7	3	0	5	0	2	0	0	0	0	0	0	0	0	0	0	7	0	4	0	0	0	0	0	0	0	0	4	43	0	51	0	0	0	0	0	0	0	0	0	0	0	0	1	0	Bacteria; __Bacteroidetes; __Flavobacteriia; __Flavobacteriales; __Flavobacteriaceae
15039	0	0	0	0	69	23	3	0	0	0	1	0	6	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	5	0	1	3	0	0	0	0	1	0	0	0	0	0	51	9	3	40	0	126	37	187	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	1	0	1	0	Unassigned
22920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	2	7	0	1	6	1	39	9	8	2	45	46	0	0	35	3	12	57	24	17	1	49	17	56	39	0	0	1	0	0	0	0	0	0	0	1	12	4	0	0	1	0	4	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhodobacterales; __Rhodobacteraceae; __Sulfitobacter; __uncultured_organism
9219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	26	35	172	76	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	6	16	26	1	9	3	0	5	0	0	1	0	0	0	0	0	0	1	0	9	0	0	0	0	0	0	0	11	28	34	5	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Parvularculales; __Parvularculaceae; __Parvularculaceae
23256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	19	0	0	5	15	68	8	33	18	43	8	1	0	1	43	0	53	13	88	71	0	0	1	6	8	0	0	0	0	0	0	0	0	0	0	0	39	0	1	0	5	0	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhodobacterales; __Rhodobacteraceae; __Marivita
10100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	72	6	22	117	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	5	0	0	1	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	10	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	Bacteria; __Bacteroidetes; __Sphingobacteriia; __Sphingobacteriales; __Saprospiraceae; __Lewinella; __uncultured_bacterium
17763	0	0	0	0	2	0	4	0	0	2	0	0	0	0	0	0	1	0	4	2	0	1	0	24	9	45	2	0	13	8	6	29	10	4	0	0	0	0	0	2	1	0	0	32	8	2	3	2	0	8	3	6	5	2	0	7	7	4	0	11	13	19	1	16	4	129	1	0	1	2	0	0	3	9	0	11	2	31	4	9	3	7	0	1	0	0	0	0	0	0	0	0	2	0	4	0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhodobacterales; __Rhodobacteraceae
20479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	4	0	0	0	0	0	0	0	0	0	6	9	0	1	6	1	39	4	4	4	35	43	0	3	44	2	12	43	24	15	0	44	10	48	23	0	0	0	0	0	0	0	0	0	0	0	12	2	1	0	0	0	3	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhodobacterales; __Rhodobacteraceae; __Sulfitobacter; __uncultured_Roseobacter_sp.
11644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	7	11	19	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	2	2	2	0	0	1	3	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	13	4	95	5	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria; __Proteobacteria; __Gammaproteobacteria; __Cellvibrionales; __Cellvibrionaceae
17905	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	67	39	0	2	3	19	1	2	49	17	4	15	53	50	28	0	11	0	0	14	9	6	72	16	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhodobacterales; __Rhodobacteraceae
10995	0	1	0	0	0	0	1	0	0	4	0	2	2	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	5	1	2	2	0	1	0	1	5	2	216	77	116	40	6	16	39	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	Bacteria; __Proteobacteria; __Gammaproteobacteria; __Oceanospirillales; __Oceanospirillaceae; __Marinomonas; __Marinomonas_dokdonensis
21834	0	0	0	0	0	9	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	1	18	4	1	0	0	0	4	0	0	0	0	0	3	0	0	0	0	0	9	33	0	7	23	16	6	33	0	0	3	1	1	40	2	2	1	251	1	9	12	0	3	4	2	11	0	0	0	0	0	0	0	33	0	5	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria; __Bacteroidetes; __Flavobacteriia; __Flavobacteriales; __Flavobacteriaceae; __Wenyingzhuangia
10933	0	0	0	4	48	111	1	24	0	2	5	2	70	0	0	48	2	0	1	7	3	1	4	17	3	7	2	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	3	22	6	2	14	7	0	0	0	2	0	1	6	1	2	0	1	2	0	0	7	23	0	67	1	5	0	0	0	0	3	4	0	2	1	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	1	0	3	0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Caulobacterales; __Hyphomonadaceae; __Litorimonas
20646	0	0	0	0	81	8	0	3	0	0	0	1	0	0	1	0	5	0	21	1	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	11	6	0	5	0	2	0	1	3	0	0	2	0	11	0	1	0	22	0	49	4	31	27	86	2	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	8	3	16	28	9	1	0	0	0	0	0	0	Bacteria; __Verrucomicrobia; __Verrucomicrobiae; __Verrucomicrobiales; __Rubritaleaceae; __Rubritalea; __uncultured_bacterium
17146	0	0	0	4	11	101	8	38	0	1	2	0	6	0	2	9	2	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	32	4	8	0	6	0	0	46	1	0	0	0	6	0	7	0	4	1	49	14	2	33	28	6	1	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	28	0	9	1	2	1	0	0	0	0	0	0	Bacteria; __Verrucomicrobia; __Verrucomicrobiae; __Verrucomicrobiales; __Rubritaleaceae; __Rubritalea; __uncultured_bacterium
16113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	6	24	46	13	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	2	3	0	1	0	2	0	0	2	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	5	12	26	1	331	0	0	0	0	0	0	0	0	0	0	0	0	1	0	Bacteria; __Bacteroidetes; __Bacteroidetes_Incertae_Sedis; __Order_II; __Rhodothermaceae; __Rhodothermaceae
9756	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	4	6	0	31	0	0	0	3	0	0	0	5	0	18	6	0	90	4	0	1	0	0	0	0	3	0	0	0	0	0	0	3	2	0	4	20	2	15	13	3	6	1	18	0	4	0	0	0	0	1	3	0	4	0	3	0	2	0	0	0	0	1	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria; __Proteobacteria; __Gammaproteobacteria; __Alteromonadales; __Alteromonadaceae; __Alteromonas; __uncultured_bacterium
18454	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	37	58	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	1	63	148	41	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria; __Proteobacteria; __Gammaproteobacteria; __Alteromonadales; __Alteromonadaceae; __Glaciecola; __uncultured_Glaciecola_sp.
19050	0	0	0	0	0	1	0	0	0	5	0	6	3	0	0	3	1	0	0	0	0	4	0	1	3	0	1	0	0	0	0	0	0	59	43	0	30	12	31	33	9	42	51	7	5	0	39	27	0	3	0	1	2	1	7	7	1	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	15	45	0	0	14	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	Unassigned
2045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	4	5	1	0	3	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	276	0	0	0	0	0	0	0	0	0	0	0	Bacteria; __Proteobacteria; __Gammaproteobacteria; __Cellvibrionales; __Cellvibrionaceae; __Candidatus_Endobugula; __Candidatus_Endobugula_sertula_(Bugula_neritina_bacterial_symbiont)
20708	0	0	0	2	73	7	1	0	0	1	0	0	0	0	0	0	3	0	8	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	3	4	0	3	0	3	0	0	0	0	0	1	0	10	2	6	0	18	0	53	8	28	30	69	3	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	5	3	21	22	5	4	0	0	0	0	0	0	Bacteria; __Verrucomicrobia; __Verrucomicrobiae; __Verrucomicrobiales; __Rubritaleaceae; __Rubritalea; __uncultured_bacterium
3967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	50	49	33	232	0	Bacteria; __Bacteroidetes; __Flavobacteriia; __Flavobacteriales; __Flavobacteriaceae; __NS4_marine_group
21747	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	3	0	1	0	0	1	0	16	2	3	0	0	42	5	8	29	7	18	1	0	0	2	4	2	0	32	43	13	0	2	9	25	5	18	5	12	13	14	14	173	0	6	0	0	0	0	0	1	0	2	0	0	0	1	0	0	4	7	0	0	3	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria; __Bacteroidetes; __Cytophagia; __Cytophagales; __Flammeovirgaceae; __Fabibacter
10767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	216	12	110	30	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	1	13	0	7	1	17	17	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	1	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	Bacteria; __Chloroflexi; __Anaerolineae; __Anaerolineales; __Anaerolineaceae; __uncultured; __uncultured_bacterium
1256	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	121	82	119	115	0	Archaea; __Euryarchaeota; __Thermoplasmata; __Thermoplasmatales; __Marine_Group_II; __Marine_Group_II; __uncultured_marine_archaeon
18984	0	0	0	0	1	1	0	0	0	9	0	0	10	0	0	0	2	0	1	1	0	2	0	17	25	2	10	0	9	6	6	45	13	0	0	0	0	0	7	3	4	1	4	53	67	0	14	76	1	0	6	6	13	26	30	35	14	2	0	0	1	0	0	0	0	0	1	1	0	0	2	0	11	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhizobiales; __uncultured; __uncultured
23091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	6	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	9	83	98	167	60	2	16	25	5	4	0	0	1	0	1	0	0	0	0	0	10	37	15	1	0	2	0	6	0	0	0	3	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria; __Bacteroidetes; __Flavobacteriia; __Flavobacteriales; __Flavobacteriaceae; __Tenacibaculum
19053	0	0	0	2	1	0	0	0	0	5	0	8	1	0	0	0	1	0	1	0	0	1	0	0	3	0	2	0	0	0	0	0	0	64	37	0	22	17	34	32	9	36	43	6	2	3	41	16	1	2	2	0	6	0	1	14	2	10	0	0	0	0	0	0	0	0	0	1	0	6	0	0	9	34	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Unassigned
22919	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	5	3	0	1	10	1	31	11	6	0	48	35	0	5	35	3	18	43	27	22	0	40	14	52	34	0	0	0	0	0	0	0	0	1	0	2	15	1	1	0	1	0	2	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhodobacterales; __Rhodobacteraceae; __Sulfitobacter; __uncultured_bacterium
20301	3	0	0	0	0	6	3	0	0	8	2	3	2	0	0	2	0	0	1	21	0	10	0	72	2	29	35	0	1	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	14	3	19	9	0	0	0	0	0	3	4	0	5	0	5	39	10	13	0	14	97	22	5	0	0	0	0	0	13	24	0	4	14	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	4	0	1	0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhodobacterales; __Rhodobacteraceae
12109	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	111	2	15	0	0	37	5	16	38	7	1	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	33	30	17	32	13	3	19	0	13	0	0	0	0	0	0	0	0	1	0	0	9	0	2	0	71	0	32	0	2	1	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria; __Bacteroidetes; __Cytophagia; __Cytophagales; __Flammeovirgaceae; __Fabibacter; __uncultured_bacterium
8142	0	0	0	0	2	5	6	3	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	3	0	0	4	0	0	0	0	0	0	1	0	0	0	2	17	3	6	8	40	18	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	0	0	2	6	1	0	0	2	0	1	0	Bacteria; __Verrucomicrobia; __Verrucomicrobiae; __Verrucomicrobiales; __Rubritaleaceae; __Rubritalea; __uncultured_bacterium
16107	0	0	0	0	4	0	0	0	0	0	0	1	2	0	0	2	1	0	8	11	0	23	0	2	0	0	1	0	0	0	0	0	0	4	49	0	2	2	28	4	6	3	33	27	27	0	49	4	0	5	1	1	1	1	69	10	157	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria; __Bacteroidetes; __Flavobacteriia; __Flavobacteriales; __Flavobacteriaceae; __Jejudonia
